window,i_start,i_end,depth,mean_soc,count
10-90%,1363,1364,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,1365,1371,0.3702899206192057,0.28514496030960274,1.0
10-90%,1375,1385,0.8,0.5,1.0
10-90%,1351,1391,0.8000000000000003,0.5000000000000001,0.5
10-90%,1391,1396,0.8000000000000003,0.5000000000000001,0.5
10-90%,1396,1400,0.8000000000000003,0.5000000000000001,0.5
10-90%,1400,1407,0.8000000000000003,0.5000000000000001,0.5
10-90%,1414,1417,2.3684757858670006e-16,0.30074710224949436,1.0
10-90%,1410,1413,0.47696961539728877,0.33848480769864425,1.0
10-90%,1422,1424,0.6150781493104499,0.592460925344775,1.0
10-90%,1447,1448,4.736951571734001e-16,0.791846987876268,1.0
10-90%,1433,1434,0.45085726035540263,0.6745713698222986,1.0
10-90%,1407,1418,0.8000000000000003,0.5000000000000001,0.5
10-90%,1470,1471,0.108590678054038,0.8457046609729809,1.0
10-90%,1458,1459,0.16423676050507993,0.8178816197474602,1.0
10-90%,1418,1481,0.8000000000000003,0.5000000000000001,0.5
10-90%,1487,1488,9.473903143468003e-17,0.490192365342812,1.0
10-90%,1481,1483,0.8000000000000003,0.5000000000000001,0.5
10-90%,1483,1494,0.8000000000000003,0.5000000000000001,0.5
10-90%,1496,1505,0.44620585467299245,0.32310292733649615,1.0
10-90%,1512,1513,2.3684757858670006e-16,0.3049493568949578,1.0
10-90%,1519,1520,4.736951571734001e-16,0.8078009333979863,1.0
10-90%,1529,1538,0.7738223136049953,0.5130888431975024,1.0
10-90%,1494,1508,0.8000000000000003,0.5000000000000001,0.5
10-90%,1554,1556,0.04322663851924422,0.8783866807403782,1.0
10-90%,1579,1580,2.842170943040401e-16,0.6789429581377814,1.0
10-90%,1592,1602,0.08700974353736977,0.5806375304507189,1.0
10-90%,1569,1590,0.40721670175896385,0.6963916491205181,1.0
10-90%,1607,1608,2.3684757858670006e-16,0.3550707372038166,1.0
10-90%,1567,1606,0.8000000000000002,0.5000000000000001,1.0
10-90%,1614,1618,0.8000000000000002,0.5000000000000001,1.0
10-90%,1508,1625,0.8000000000000003,0.5000000000000001,0.5
10-90%,1633,1634,0.1539392307945773,0.5,1.0
10-90%,1629,1637,0.8,0.5,1.0
10-90%,1625,1639,0.8000000000000003,0.5000000000000001,0.5
10-90%,1639,1647,0.8000000000000003,0.5000000000000001,0.5
10-90%,1660,1668,0.16041541050678715,0.18020770525339352,1.0
10-90%,1647,1656,0.8000000000000003,0.5000000000000001,0.5
10-90%,1685,1689,0.18777154764554874,0.8061142261772258,1.0
10-90%,1692,1695,1.8947806286936006e-16,0.9,1.0
