hour,price_eur_mwh,wind_mw,storage_p_mw_10_90,soc_10_90,storage_p_mw_20_80,soc_20_80,storage_p_mw_0_100,soc_0_100,storage_p_mw_20_100,soc_20_100,storage_p_mw_0_80,soc_0_80
39,133.33,14.861619714304519,-14.861619714304519,0.8527430597379161,-14.861619714304519,0.7527430597379161,-14.861619714304519,0.9462950665273985,-14.861619714304519,0.9527430597379161,-14.861619714304519,0.7527430597379164
40,199.74,19.763592985977397,0.0,0.9,0.0,0.8,-2.0277999905130573,0.9935520067894824,0.0,1.0,1.0845033452762633e-13,0.8000000000000004
41,226.11,15.8763509650681,0.0,0.9,-1.0845033452762633e-13,0.8,0.0,1.0,0.0,1.0,0.0,0.8
42,230.57,16.76053545451738,65.856091174821,0.9000000000000002,65.8560911748213,0.8000000000000004,65.856091174821,1.0,65.856091174821,1.0,65.85609117482089,0.8
43,226.18,16.936428734253578,0.0,0.6698802011389952,0.0,0.5698802011389943,0.0,0.7698802011389949,0.0,0.7698802011389949,0.0,0.5698802011389953
44,219.57,11.724090657321787,1.3556291815953292e-13,0.6698802011389952,-1.0845033452762633e-13,0.5698802011389943,0.0,0.7698802011389949,0.0,0.7698802011389949,0.0,0.5698802011389953
45,200.5,4.5914993712901815,-4.5914993712901815,0.6698802011389947,-4.5914993712901815,0.5698802011389946,-4.5914993712901815,0.7698802011389948,-4.5914993712901815,0.7698802011389948,-4.5914993712901815,0.5698802011389951
46,180.18,11.33440567987385,-11.33440567987385,0.6844802390671357,-11.33440567987385,0.5844802390671358,-11.33440567987385,0.7844802390671358,-11.33440567987385,0.7844802390671358,-11.33440567987385,0.5844802390671362
47,169.06,6.289231641485803,-6.289231641485803,0.7205213531863776,-6.289231641485803,0.6205213531863776,-6.289231641485803,0.8205213531863776,-6.289231641485803,0.8205213531863776,-6.289231641485803,0.6205213531863779
48,169.13,14.665694653918564,-14.665694653918564,0.7405198358342705,-14.665694653918564,0.6405198358342705,-14.665694653918564,0.8405198358342706,-14.665694653918564,0.8405198358342706,-14.665694653918564,0.640519835834271
49,169.89,12.264417214673742,-12.264417214673742,0.7871537740916946,-12.264417214673742,0.6871537740916946,-12.264417214673742,0.8871537740916947,-12.264417214673742,0.8871537740916947,-12.264417214673742,0.687153774091695
50,169.53,6.937637005004797,-6.937637005004797,0.8261521365047267,-6.937637005004797,0.7261521365047268,-6.937637005004797,0.9261521365047268,-6.937637005004797,0.9261521365047268,-6.937637005004797,0.7261521365047272
51,182.04,16.28644093770508,-16.28644093770508,0.8482124168650144,-16.28644093770508,0.7482124168650143,-16.28644093770508,0.9482124168650145,-16.28644093770508,0.9482124168650145,-16.28644093770508,0.7482124168650147
52,229.95,24.100867266366727,0.0,0.9,-1.0845033452762633e-13,0.8,0.0,1.0,0.0,1.0,1.0845033452762633e-13,0.8000000000000004
53,248.08,36.31423777094659,78.94541539069863,0.9000000000000002,21.709061543024077,0.8000000000000004,136.1817692383732,1.0,78.94541539069861,1.0,78.94541539069856,0.8
54,251.09,20.326973842699694,150.0,0.6241424022194036,150.0,0.7241424022194036,150.0,0.5241424022194038,150.0,0.7241424022194036,150.0,0.5241424022194038
55,231.08,21.41541727207417,0.0,0.09999999999999992,0.0,0.19999999999999984,0.0,0.0,0.0,0.19999999999999984,0.0,0.0
56,210.62,24.27664345247961,0.0,0.09999999999999998,0.0,0.19999999999999996,0.0,0.0,0.0,0.19999999999999996,0.0,0.0
57,199.68,22.080688537348266,0.0,0.09999999999999998,0.0,0.19999999999999996,0.0,0.0,0.0,0.19999999999999996,0.0,0.0
58,185.34,28.01531693134472,-28.01531693134472,0.09999999999999998,-28.01531693134472,0.19999999999999996,-28.01531693134472,0.0,-28.01531693134472,0.19999999999999996,-28.01531693134472,0.0
59,182.33,57.8125361048832,-57.8125361048832,0.1890830329465109,-57.8125361048832,0.2890830329465109,-57.8125361048832,0.08908303294651093,-57.8125361048832,0.2890830329465109,-57.8125361048832,0.08908303294651093
60,185.39,58.617458201279106,-58.617458201279106,0.37291518702043097,-32.329201042533796,0.47291518702043095,-58.617458201279106,0.272915187020431,-58.617458201279106,0.47291518702043095,-58.617458201279106,0.272915187020431
61,186.26,76.00040011890842,-36.60883110758325,0.5593068303126358,0.0,0.575715497602824,-76.00040011890842,0.45930683031263586,-36.60883110758325,0.6593068303126358,-36.60883110758337,0.45930683031263586
