cycle_idx,dod,sigma_bar,sg0_charge,sg1_discharge,sg2_boundary,eff_ratio,expected_A,pass_A,pass_B,c_ratio,pass_C
151,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
152,0.537601,0.368801,-1.49181e-05,1.65189e-05,0,1.1073,1.1073,True,True,0,False
154,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
155,0.534334,0.632833,-1.96109e-05,2.17152e-05,0,1.1073,1.1073,True,True,0,False
157,0.197745,0.570989,-1.5399e-05,1.70513e-05,0,1.1073,1.1073,True,True,0,False
158,0.692166,0.553917,-1.89199e-05,2.09501e-05,0,1.1073,1.1073,True,True,0,False
159,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
161,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
162,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
163,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
164,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
165,0.2,0.5,-1.4332e-05,1.58699e-05,0,1.1073,1.1073,True,True,0,False
166,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
167,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
168,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
169,0.227,0.2135,-1.08824e-05,1.20501e-05,0,1.1073,1.1073,True,True,0,False
170,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
172,0.723851,0.538075,-1.876e-05,2.07731e-05,0,1.1073,1.1073,True,True,0,False
173,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
174,0.492923,0.346462,-1.43515e-05,1.58915e-05,0,1.1073,1.1073,True,True,0,False
175,0.569861,0.615069,-1.94744e-05,2.15641e-05,0,1.1073,1.1073,True,True,0,False
176,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
179,0.303971,0.748015,-1.99887e-05,2.21336e-05,0,1.1073,1.1073,True,True,0,False
181,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
182,0.0532899,0.406452,-1.02686e-05,1.13705e-05,0,1.1073,1.1073,True,True,0,False
183,0.569861,0.384931,-1.53292e-05,1.69741e-05,0,1.1073,1.1073,True,True,0,False
184,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
185,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
186,0.569861,0.384931,-1.53292e-05,1.69741e-05,0,1.1073,1.1073,True,True,0,False
187,0.425392,0.312696,-1.34966e-05,1.49448e-05,0,1.1073,1.1073,True,True,0,False
188,0.0577806,0.87111,-1.68909e-05,1.87034e-05,0,1.1073,1.1073,True,True,0,False
189,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
191,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
192,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
193,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
194,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
195,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
196,0.126399,0.1632,-9.30268e-06,1.03009e-05,0,1.1073,1.1073,True,True,0,False
197,0.449813,0.324907,-1.38059e-05,1.52874e-05,0,1.1073,1.1073,True,True,0,False
198,0.0182851,0.890857,-1.40399e-05,1.55465e-05,0,1.1073,1.1073,True,True,0,False
199,0.00230538,0.898847,-9.78168e-06,1.08313e-05,0,1.1073,1.1073,True,True,0,False
