cycle_idx,dod,sigma_bar,count,s_sigma,phi_prime,expected_sg,measured_sg,ratio,note
254,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
255,4.73695e-17,0.330139,1,,,,,,skip_zero_dod
256,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
257,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
258,3.78956e-16,0.9,1,,,,,,skip_zero_dod
259,3.78956e-16,0.9,1,,,,,,skip_zero_dod
260,3.78956e-16,0.9,1,,,,,,skip_zero_dod
261,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
262,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
263,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
264,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
265,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
266,9.4739e-17,0.378438,1,,,,,,skip_zero_dod
267,0.397307,0.298653,1,0.81107,3.24008e-05,1.31397e-05,1.31397e-05,1,
268,0.621807,0.410904,1,0.911503,3.50982e-05,1.59961e-05,1.59961e-05,1,
269,0.601435,0.470847,1,0.970136,3.48901e-05,1.69241e-05,1.69241e-05,1,
270,0.748426,0.525787,1,1.02718,3.6279e-05,1.86326e-05,1.86326e-05,1,
271,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
272,0.163232,0.259799,1,0.77895,2.76431e-05,1.07663e-05,1.07663e-05,1,
273,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
274,0.517726,0.641137,1,1.1581,3.3969e-05,1.96698e-05,1.96698e-05,1,
275,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
276,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
277,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
278,4.73695e-17,0.364346,1,,,,,,skip_zero_dod
279,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
280,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
281,0.399554,0.299777,1,0.812019,3.24335e-05,1.31683e-05,1.31683e-05,1,
282,0.528744,0.364372,1,0.868443,3.40969e-05,1.48056e-05,1.48056e-05,1,
283,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
284,0.5,0.35,1,0.855559,3.37583e-05,1.44411e-05,1.44411e-05,1,
285,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
286,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
287,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
288,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
289,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
290,0.339239,0.73038,1,1.27074,3.14996e-05,2.00138e-05,2.00138e-05,1,
291,0.138358,0.399318,1,0.900586,2.68391e-05,1.20855e-05,1.20855e-05,1,
292,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
293,0.10947,0.154735,1,0.698321,2.57401e-05,8.98743e-06,8.98743e-06,1,
294,1.18424e-17,0.1,1,,,,,,skip_zero_dod
295,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
