cycle_idx,dod,sigma_bar,measured,expected,ratio,pass
359,0.12620298597361898,0.16310149298680945,1.0437231445778434,1.751251820108394e-13,5959869006807.039,False
360,0.6267146428190192,0.4133573214095096,2.9385475875187073,3.024382171021177e-13,9716191345376.541,False
361,0.12587097529794786,0.1629354876489739,2.6446928287668365,1.7501262467426558e-13,15111440295745.252,False
362,0.6481082629775334,0.4240541314887667,2.8997261203575926,3.0765968921377186e-13,9425109047492.957,False
363,0.8000000000000004,0.5000000000000002,1.7275950362299213,3.456988014095166e-13,4997399554716.428,False
364,0.8000000000000004,0.5000000000000002,2.3856529018922137,3.456988014095166e-13,6900957978926.16,False
365,0.8000000000000004,0.5000000000000002,0.8879421127364681,3.456988014095166e-13,2568542642080.518,False
366,0.8000000000000004,0.5000000000000002,3.0494660651218917,3.456988014095166e-13,8821164703748.793,False
367,0.8000000000000004,0.5000000000000002,2.6638263382094043,3.456988014095166e-13,7705627926241.554,False
368,0.8000000000000004,0.5000000000000002,3.2995608458306656,3.456988014095166e-13,9544611761387.014,False
369,0.8,0.5,2.0402663327260493,3.456988014095165e-13,5901861170496.624,False
370,0.8000000000000004,0.5000000000000002,0.7922493558220276,3.456988014095166e-13,2291733013223.6265,False
371,0.5698610367648245,0.6150694816175881,2.1310610705675233,3.6674977645994945e-13,5810667674122.614,False
372,0.8000000000000004,0.5000000000000002,1.6107365784679333,3.456988014095166e-13,4659364081971.017,False
373,0.8,0.5,2.5503329159075614,3.456988014095165e-13,7377326463120.78,False
374,0.08516607527724979,0.14258303763862487,3.4761061694113105,1.5980408725353708e-13,21752298261910.51,False
375,0.5,0.35,3.4761061694113105,2.719610294271e-13,12781633371273.48,False
376,0.8000000000000004,0.5000000000000002,1.360233797488487,3.456988014095166e-13,3934736805399.4116,False
377,0.8000000000000004,0.5000000000000002,1.4944945542708743,3.456988014095166e-13,4323111761387.012,False
378,0.8000000000000004,0.5000000000000002,1.7758842254729361,3.456988014095166e-13,5137085284161.036,False
379,0.8000000000000004,0.5000000000000002,3.362612747109467,3.456988014095166e-13,9727001463120.777,False
380,0.8,0.5,0.7847178202792496,3.456988014095165e-13,2269946604037.163,False
381,0.8,0.5,2.5503329159075614,3.456988014095165e-13,7377326463120.78,False
382,0.8000000000000004,0.5000000000000002,1.7337917940633734,3.456988014095166e-13,5015324863708.493,False
384,0.8000000000000004,0.5000000000000002,2.2417418314063116,3.456988014095166e-13,6484667642080.519,False
385,0.8000000000000004,0.5000000000000002,0.6952212338822621,3.456988014095166e-13,2011060585248.3108,False
387,0.3610886283041206,0.7194556858479401,2.317404112940874,3.7682631128110475e-13,6149793800391.336,False
388,0.8000000000000004,0.5000000000000002,2.342479580746443,3.456988014095166e-13,6776070877872.467,False
390,0.3043517172460211,0.2521758586230105,2.0545951714720885,2.2481902980813391e-13,9138884609659.291,False
391,0.10171113252366656,0.15517658780790178,2.6638263382094043,1.6712478145958876e-13,15939146277079.95,False
392,0.8000000000000004,0.5000000000000002,1.4376224241941618,3.456988014095166e-13,4158598231560.3887,False
393,0.8000000000000004,0.5000000000000002,2.829847479467586,3.456988014095166e-13,8185875877872.466,False
394,0.8000000000000004,0.5000000000000002,1.3319131691047021,3.456988014095166e-13,3852813963120.777,False
395,0.8000000000000004,0.5000000000000002,3.339914062649099,3.456988014095166e-13,9661341170496.623,False
396,0.8000000000000004,0.5000000000000002,1.5221864789768025,3.456988014095166e-13,4403215957852.316,False
397,0.15765992849133645,0.8211700357543318,1.3904424677645242,3.6126929482915246e-13,3848770121529.639,False
398,0.8000000000000004,0.5000000000000002,2.2417418314063116,3.456988014095166e-13,6484667642080.519,False
399,0.8000000000000004,0.5000000000000002,1.0655305352837616,3.456988014095166e-13,3082251170496.621,False
401,0.8000000000000004,0.5000000000000002,3.362612747109467,3.456988014095166e-13,9727001463120.777,False
402,0.8000000000000004,0.5000000000000002,2.6638263382094043,3.456988014095166e-13,7705627926241.554,False
404,0.8000000000000004,0.5000000000000002,1.7928820721317664,3.456988014095166e-13,5186254811476.505,False
405,0.02738040002578259,0.11369020001289128,0.8966967325625246,1.2663514963693714e-13,7080946602371.88,False
406,0.14699313551472712,0.17349656775736355,3.4761061694113105,1.819144486674076e-13,19108466616451.348,False
407,0.8000000000000004,0.5000000000000002,0.9931731912603743,3.456988014095166e-13,2872943693211.8726,False
408,0.8000000000000004,0.5000000000000002,2.087446289155687,3.456988014095166e-13,6038338231560.39,False
