t,subgrad_t,fd_partial_t,ratio,pass
3286,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3287,3.7030930140149962,1.0397814529869431e-07,2.807872902602528e-08,False
3290,-3.249119324807624,-2.59301540395801e-08,7.980671513538639e-09,False
3291,-3.249119324807624,-4.354915736186349e-08,1.3403372732222438e-08,False
3292,-3.249119324807624,8.293487865213e-08,-2.5525340980525688e-08,False
3293,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3294,3.7030930140149962,0.0,0.0,False
3297,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3298,-3.249119324807624,0.0,-0.0,False
3299,-3.249119324807624,2.3546141827979206e-08,-7.246930467650135e-09,False
3300,-3.249119324807624,-2.3464656525098992e-08,7.2218512708788566e-09,False
3301,-3.249119324807624,0.0,-0.0,False
3305,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3306,3.7030930140149962,0.0,0.0,False
3314,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3315,-3.249119324807624,0.0,-0.0,False
3316,-3.249119324807624,0.0,-0.0,False
3319,-3.249119324807624,1.8196449258836567e-08,-5.600425050537026e-09,False
3329,3.7030930140149962,1.8196449258836567e-08,4.913851526269785e-09,False
3330,3.7030930140149962,3.2851169620533305e-08,8.8712785490946e-09,False
3333,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3335,-3.249119324807624,-1.3349246317725938e-08,4.108573734366105e-09,False
3336,-3.249119324807624,0.0,-0.0,False
3337,-3.249119324807624,0.0,-0.0,False
3338,-3.249119324807624,0.0,-0.0,False
3339,-3.249119324807624,0.0,-0.0,False
3340,-3.249119324807624,0.0,-0.0,False
3341,3.7030930140149962,1.3666885840049603e-07,3.6906677170475896e-08,False
3342,3.7030930140149962,0.0,0.0,False
3345,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3346,-3.249119324807624,0.0,-0.0,False
3347,-3.249119324807624,0.0,-0.0,False
3348,-3.249119324807624,0.0,-0.0,False
3349,-3.249119324807624,0.0,-0.0,False
3350,-3.249119324807624,0.0,-0.0,False
3351,-3.249119324807624,3.282570371857668e-08,-1.010295419683309e-08,False
3354,3.7030930140149962,3.282570371857668e-08,8.864401621655769e-09,False
3360,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3361,-3.249119324807624,0.0,-0.0,False
3362,-3.249119324807624,0.0,-0.0,False
3363,-3.249119324807624,0.0,-0.0,False
3364,-3.249119324807624,0.0,-0.0,False
3365,-3.249119324807624,7.016111670810066e-08,-2.159388735661618e-08,False
3367,3.7030930140149962,7.016111670810066e-08,1.8946625548578923e-08,False
3368,3.7030930140149962,0.0,0.0,False
3372,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3373,-3.249119324807624,0.0,-0.0,False
3374,-3.249119324807624,0.0,-0.0,False
3377,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3378,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3379,3.7030930140149962,0.0,0.0,False
3389,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3390,-3.249119324807624,0.0,-0.0,False
3391,-3.249119324807624,0.0,-0.0,False
