cycle_idx,dod,sigma_bar,measured_discharge,expected_discharge,ratio_discharge,measured_charge,expected_charge,ratio_charge,classification,pct_overwritten,n_discharge_timesteps,n_carry_dominant,n_carry_own
283,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,PASS_FORMULA,0.0,1,0,0
284,0.5,0.35,3.7030930140149962,2.913220942767483,1.271133596374999,3.249119324807624,2.556080127276485,1.2711335963749992,PASS_OVERWRITE,100.0,1,1,0
285,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,PASS_FORMULA,0.0,13,0,0
286,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
287,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
288,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
289,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
290,0.33923915564403395,0.7303804221779835,3.7030930140149962,4.037409272127487,0.9171953508849191,3.249119324807624,3.5424507131145417,0.9171953508849192,PASS_OVERWRITE,100.0,1,1,0
291,0.13835761718721065,0.3993177718287816,3.7030930140149962,2.438010280348495,1.5188996715328318,3.249119324807624,2.139127017868601,1.5188996715328318,PASS_OVERWRITE,100.0,1,1,0
292,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
293,0.10946959578137336,0.15473479789068667,3.7030930140149962,1.8130408450396733,2.0424763314882544,3.2491193248076238,1.5907745292892317,2.042476331488254,PASS_OVERWRITE,100.0,1,1,0
295,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,5,0,0
296,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,PASS_FORMULA,0.0,1,0,0
297,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
298,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
299,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,3,0,0
300,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
301,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
302,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
303,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
304,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
305,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
306,0.27631435849221997,0.7618428207538903,3.7030930140149962,4.0216653587624105,0.9207859639407072,3.249119324807624,3.5286368950524603,0.9207859639407073,PASS_OVERWRITE,100.0,1,1,0
307,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
308,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
309,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,PASS_FORMULA,0.0,1,0,0
310,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
311,0.14080749554235278,0.8295962522288239,3.7030930140149962,3.8259445830134426,0.9678898723353477,3.249119324807624,3.3569101378941713,0.9678898723353478,PASS_OVERWRITE,100.0,2,2,0
312,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,3,0,0
313,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
314,0.28102445964122846,0.4706511930557905,3.7030930140149962,2.9798542044615486,1.2427094615805658,3.249119324807624,2.6145446101900314,1.2427094615805658,PASS_OVERWRITE,100.0,1,1,0
315,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
316,0.26252988542331307,0.23126494271165654,3.7030930140149962,2.2950600755394492,1.613505917985433,3.249119324807624,2.0137015232422333,1.613505917985433,PASS_OVERWRITE,100.0,1,1,0
317,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,5,0,0
318,0.46657179989018277,0.43657513681973265,3.7030930140149962,3.1485560992930277,1.1761241970077914,3.2491193248076238,2.7625648150712263,1.1761241970077914,PASS_OVERWRITE,100.0,1,1,0
319,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,PASS_FORMULA,0.0,1,0,0
320,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,3,0,0
321,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,PASS_FORMULA,0.0,1,0,0
322,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
323,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
325,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
326,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
327,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
328,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
329,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
330,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
331,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
332,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
