turbine_id,latitude,longitude,x_m,y_m,distance_from_center_km,name,power
71,53.0055093,5.2155608,-3139.289919999941,958.3872760003754,3.2516796270014114,,generator
72,53.0251876,5.2759191,940.93116000005,3148.9756320006513,3.280385851250686,,generator
73,53.0264797,5.2647523,186.05548000000277,3292.812204000715,3.2942625292486216,,generator
74,52.9984013,5.3112287,3327.860120000031,167.12471600011554,3.2987303527658924,,generator
75,53.0161781,5.301229,2651.8804000000423,2146.03809200012,3.3888783053306586,,generator
76,53.0236513,5.2872496,1706.8729600000288,2977.9547160000902,3.420808558934743,,generator
77,53.0275724,5.2536142,-566.8800799999474,3414.4515680000295,3.4564471527085825,,generator
78,53.0202185,5.2272012,-2352.398879999994,2595.8154200002245,3.484793525620485,,generator
79,52.9926243,5.3140833,3520.8310800000336,-475.97092399930716,3.5180472330884327,,generator
80,53.0156694,5.2196334,-2863.9821599999573,2089.4096080004006,3.5201418841756014,,generator
81,53.0245772,5.2349936,-1825.6326399999616,3081.0259040007245,3.5687358867216306,,generator
82,53.0112101,5.2128118,-3325.1223199999786,1593.000332000333,3.655767915341313,,generator
83,53.0219799,5.2978047,2420.397720000054,2791.8944680001655,3.6763441841948543,,generator
84,53.028792,5.242626,-1309.6824000000001,3550.2174400006957,3.775660025578746,,generator
85,53.0303968,5.2723729,701.2080400000087,3728.863776000197,3.788763143794341,,generator
86,53.0314661,5.2613097,-46.66427999997218,3847.8982520007094,3.8438523531077333,,generator
87,53.0290593,5.2832118,1433.9176800000378,3579.973276000396,3.847220097149237,,generator
88,53.0274226,5.2940216,2164.660160000014,3397.7758320005264,4.013496695584845,,generator
