Hour [h],Power wind farm [W]
2801,49710703.861467965
2802,110368481.98314613
2803,84426104.39247592
2804,56658712.28872662
2805,64287603.56263316
2806,41948161.38606292
2807,26948861.767557874
2808,29455917.069722835
2809,35305718.93195423
2810,54912171.37718326
2811,64188705.290492974
2812,79575928.39996856
2813,94435149.37867588
2814,88478534.25082242
2815,78002860.82914777
2816,80301398.23077407
2817,75835719.54626434
2818,83087594.56890342
2819,85473271.04905935
2820,88899082.4922559
2821,58548458.3221385
2822,92225458.02005571
2823,95174470.06409049
2824,104540761.74362071
2825,102970315.54134259
2826,97527989.21397893
2827,90535467.96454538
2828,74204542.27298109
2829,107731625.96111414
2830,110207845.56750043
2831,115438760.52259837
2832,115438760.52259837
2833,93807106.60973674
2834,95644524.83788434
2835,103363167.79445322
2836,90269102.71352044
2837,79093422.29102239
2838,69188102.51259318
2839,94958257.5831149
2840,111343532.59812334
2841,111518096.61878875
2842,90689371.67221761
2843,74633571.07087642
2844,59191732.1113729
2845,80683011.52760358
2846,135859046.93737447
2847,122720062.50354023
2848,83210821.08688019
2849,87827928.23812063
2850,57706018.75288865
2851,60892916.227476016
2852,64036463.66879903
2853,58800726.15346721
2854,43248733.1879245
2855,27664390.930481836
2856,22948723.95110127
2857,20158767.606404077
2858,17984822.265140727
2859,17813138.6308275
2860,14837079.907378366
2861,18420905.458895918
2862,10053050.84502093
2863,4353188.920647472
2864,0.0
2865,0.0
2866,0.0
2867,0.0
2868,0.0
2869,0.0
2870,51855064.146035634
2871,84186552.81669748
2872,46465290.73053445
2873,29059025.886339974
2874,13202300.047383599
2875,14125201.740714699
2876,23566019.971745063
2877,18342576.25536023
2878,15960384.522336558
2879,3099691.925748967
2880,4793259.195288213
2881,13105866.531625206
2882,25229716.482749954
2883,20519396.89805568
2884,22815438.202775538
2885,22259251.67362793
2886,20129503.352272175
2887,8985895.140993921
2888,14771675.691633666
2889,19834946.030278735
2890,16316225.026857793
2891,11986256.01186435
2892,10337158.199622177
2893,38832375.42275634
2894,52264259.82207645
2895,40690595.11003685
2896,53862976.554473765
2897,37525964.45828683
2898,21609592.53221575
2899,13642870.497389771
2900,16245231.699338486
2901,12519638.468901364
2902,18568021.48690546
2903,11361950.976481216
2904,10508263.383686814
2905,11831134.665935855
2906,21360669.375373088
2907,17359200.802571338
2908,21651963.34269124
2909,27570898.53780471
2910,28951475.530450344
2911,45305426.949123174
2912,27347327.189870544
2913,31510902.400622644
2914,43816798.40027095
2915,55516791.03422439
2916,79645906.53349967
2917,59396747.43449595
2918,110733292.77591549
2919,123576184.78291884
2920,122029245.46390347
2921,129960891.84085992
2922,146353095.40789646
2923,159866677.00964716
2924,124055417.73933141
2925,104687862.71071358
2926,122982605.40949881
2927,146532077.91898146
2928,159873159.06024185
2929,128241498.90524256
2930,105822901.65322836
2931,95149319.96947636
2932,82039518.39532389
2933,69578257.17745106
2934,52520065.725787066
2935,43556355.93647865
2936,13022894.103325462
2937,9339781.991599811
2938,7806458.821291638
2939,7459594.148528166
2940,4048406.91376995
2941,3249456.2569325836
2942,0.0
2943,2478026.086994841
2944,19819049.344541475
2945,31688899.865008034
2946,60422232.882607855
2947,121309233.09675355
2948,106594884.36462389
2949,77966696.90520592
2950,42261260.55969108
2951,8416098.402942384
2952,9014069.221668968
2953,40631698.72739803
2954,41653203.1386011
2955,47430308.335378796
2956,35754290.20323735
2957,16702253.335870905
2958,0.0
2959,0.0
2960,0.0
2961,0.0
2962,0.0
2963,0.0
2964,1141644.4319656375
2965,20081220.894440446
2966,35307621.66817402
2967,26564993.649018798
2968,19931020.963633884
2969,32985128.030537903
2970,38218147.80294809
2971,27096316.749369994
2972,21769145.607529484
2973,8710571.135924067
2974,0.0
2975,0.0
2976,7116659.453162507
2977,18347383.879397485
2978,18094623.35921547
2979,28843142.42850385
2980,46365394.54387204
2981,51591343.10703647
2982,48130104.893646106
2983,36373277.14124354
2984,78463518.30856651
2985,67765952.0312956
2986,68295236.63831912
2987,38514816.333465196
2988,39375961.485790014
2989,54267174.72509313
2990,29976930.949694365
2991,51322126.77525412
2992,77025434.42067158
2993,81789648.34252065
2994,61938834.698383525
2995,37576110.448434904
2996,26952711.783547927
2997,46179660.62519975
2998,51381363.712253705
2999,39651667.22036901
3000,35855765.91833864
3001,27347327.189870544
3002,22450397.926038895
3003,33716253.04421914
3004,53582122.31367688
3005,75193016.53993821
3006,79361646.9625047
3007,100388831.95340645
3008,68901239.98102401
3009,60494496.7069419
3010,44607900.84031132
3011,50337287.7792537
3012,57832030.18831822
3013,38682683.179788426
3014,38958204.32627909
3015,46109528.20271224
3016,86442945.15812357
3017,89459969.98586294
3018,89459969.98586294
3019,89459969.98586294
3020,73073015.20588998
3021,73174727.59450555
3022,48190444.89230643
3023,74745245.46928596
3024,71673248.29521412
3025,52119731.442534074
3026,38948499.96503056
3027,32238937.51057621
3028,63686295.93603133
3029,65340103.32665447
3030,69874458.41064297
3031,89086566.84185888
3032,79093422.29102239
3033,80253412.47267723
3034,94581841.74788
3035,130366885.57582362
3036,135428106.65772226
3037,164302892.6044595
3038,177332174.88040283
3039,182164454.5556313
3040,199933303.06613952
3041,213221339.03527376
3042,157315235.68853995
3043,173012857.6014519
3044,184528554.24624857
3045,184528554.24624857
3046,184528554.24624857
3047,123123724.41538787
3048,143952096.1108303
3049,102102774.23707472
3050,113641765.0075313
3051,122569880.00241525
3052,104140176.4707234
